id,description,name,accreditations,alternate_name,date_incorporated,email,funding_sources,legal_status,licenses,tax_id,tax_status,website
359,Temporary Staffing Agency. Call or visit to fill out an application.,SPARKS,,,,,,,,,,
360,Temporary Staffing Agency. Call or visit to fill out an application.,Staffing Support Services,,,,,,,,,,
361,"Provides an affordable, safe, and family-friendly environment for children to spend quality time with their parents.  To provide safeguards for the emotional and physical well-being of parents and their children, and to prevent further acts of violence to survivors of domestic abuse. Sliding scale.",The Armand Center for Conflict Resolution,,,,,,,,,,
362,Individual and family counseling. Accepts Medicaid.,"Thoughts and Emotions, LLC",,,,,,,,,,
363,"Job Placement, Job Preparation, Job Search, Technology Training. Free.",Vocational Support Systems,,,,,,,,,,
364,Employment training and placement. Free.,WorkSource Montgomery,,,,,,,,,,
365,"Intensive/Standard Outpatient, Dual Diagnosis substance abuse.","Anne Arundel Counseling, Inc.",,,,,,,,,,
366,Provides referrals to mental health and substance abuse treatment.,Behavioral Health Services; Core Services Agency,,,,,,,,,,
367,"Obtain birth certificate, social security card. Free.",Birth Certificates – Vital Records,,,,,,,,,,
368,"Mental health counseling and Psychiatric Rehabilitation Services. Medication management, conflict resolution, vocational and resume skills, referrals for government services. Medical assistance, Medicaid required.","Boundless Innovations for Holistic Living, LLC",,,,,,,,,,
369,Rental/Mortgage Assistance and Food Pantry. Free.,Bowie Interfaith Pantry & Aid Fund,,,,,,,,,,
370,Outpatient drug treatment services and counselling. Cognitive Behavioral therapy and medication management. Referrals for employment and housing. Sliding scale. Medicaid accepted.,"CARE Consultants, LLC",,,,,,,,,,
371,Legal assistance. Free.,CASA de Maryland,,,,,,,,,,
372,"Referrals for child, adult and family services including SNAP, Energy Assistance, housing, medical and dental assistance. Free.","Child, Adult & Family Social Services",,,,,,,,,,
373,"Rental/Mortgage, Utility Assistance. Free.",Community Support Systems,,,,,,,,,,
374,Temporary Staffing Agency. Call or visit to fill out an application.,"Contemporary Staffing, Inc.",,,,,,,,,,
375,"14 week Culinary Job Training program providing culinary arts education, transportation stipend, career readiness training, and real-world apprenticeships. Free.",D.C. Central Kitchen,,,,,,,,,,
376,"Referrals for child, adult and family services including SNAP, Energy Assistance, housing, medical and dental assistance. Free.","DSS, Family Investment",,,,,,,,,,
377,"Referrals for child, adult and family services including SNAP, Energy Assistance, housing, medical and dental assistance. Free.","DSS, Family Investment",,,,,,,,,,
378,Hot meal 6:30 p.m. daily dinner + packed lunch. Free.,Elisabeth House,,,,,,,,,,
379,"Mental health clinic; diagnosis, medication management and counselling. Accepts Medicaid..","Family Behavioral Services, LLC",,,,,,,,,,
380,"Psychiatric Rehabilitation Program mentorship, therapy and counselling. Medication management. Accepts Medicaid.",Family Matters of Greater Washington,,,,,,,,,,
381,"Serves dinner every night at 6 p.m. and provides bag lunches. Referrals for food, utility and medication assistance.",Fish of Laurel,,,,,,,,,,
382,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
383,Therapy. Comprehensive sex offender treatment. Collaborates with Parole and Probation.,"In A Family Way - Diane Pisano, LCSW-C",,,,,,,,,,
384,"Outpatient substance abuse treatment. Anger management, DWI/DUI education program. Insurance assistance. Self pay.",Institute of Life and Health,,,,,,,,,,
385,Temporary Staffing Agency. Call or visit to fill out an application.,Labor Finders,,,,,,,,,,
386,Temporary Staffing Agency. Call or visit to fill out an application.,Labor Ready - LAUREL,,,,,,,,,,
387,Temporary Staffing Agency. Call or visit to fill out an application.,Labor Ready - HYATTSVILLE,,,,,,,,,,
388,"Emergency shelter. Transitional housing. Motel placements, Food, Eviction prevention. Counseling. Winter Haven, Laurel Residents only. Free.",Laurel Advocacy and Referral,,,,,,,,,,
389,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Laurel Regional Career Center,,,,,,,,,,
390,"Victim services including crisis assistance, legal help, victim notification, financial assistance, social services, national victim resources. Free.","Maryland Crime Victims Resource Center, Inc.",,,,,,,,,,
391,Workshops and training for women who are looking to build long lasting businesses. Free.,Maryland Women's Business Center,,,,,,,,,,
392,Hyattsville Parole and Probation Office.,MD Dept. of Public Safety & Correctional Services- HYATTSVILLE- Parole & Probation,,,,,,,,,,
393,Temple Hills Parole and Probation Office.,MD Dept. of Public Safety & Correctional Services- TEMPLE HILLS- Parole & Probation,,,,,,,,,,
394,Clothing closet. Free. Call for appointment.,Mission of Love,,,,,,,,,,
395,Mortgage  Assistance. Free.,Mortgage) Housing Initiative Partnership,,,,,,,,,,
396,Sexual offender evaluation and counseling. Accepts Medicaid.,MRB Counseling Services - Hyattsville,,,,,,,,,,
397,"Mental health treatment and evaluation. Individual and family counseling, psychological evaluation, urinalysis, DUI/DWI classes, anger management. Medicaid accepted.",MRB Counseling Services - Hyattsville,,,,,,,,,,
398,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Prince George's American Job Center,,,,,,,,,,
399,"Provides mediation services free of charge to all constituents within Prince George's County (some restrictions apply). Mediation is conducted by a mediator, who is a neutral third party to the dispute and will act in an impartial manner at all times throughout the mediation process. Call for more information.",Prince George's County Office of Community Relations; Mediation Division,,,,,,,,,,
400,"Provides clinical case management services to returning citizens that will enable them to lead healthy and productive lives. The Re-Entry Program makes contact with clients while incarcerated, and upon release provides support to ensure a successful transition into the community. Clinical case management services include: assistance with job placement, linkage to healthcare services, referrals to parental services, transportation, counseling, and access to various other community resources. Free.","Prince George’s County Department of Corrections, Youth Strategies and Re-Entry Services Section",,,,,,,,,,
401,"Intensive Outpatient Addiction treatment, Traditional Outpatient Addiction and Mental Health treatment, MVA approved DWI programs, DWI programs also available for individuals referred by agencies in other U.S. states. Alcohol/Drug and other Addictions education workshops, Addiction and Mental Health Evaluations. Self pay.",Renaissance Treatment Center,,,,,,,,,,
402,"Employment readiness training, emergency food pantry, clothing closet. Free.",Shabach Emergency Empowerment Center,,,,,,,,,,
403,Hot meal on Thursday at 12:30 p.m. Free.,St. Jerome,,,,,,,,,,
404,Temporary Staffing Agency. Call or visit to fill out an application.,Staffing Etc.,,,,,,,,,,
405,Men and Women. Call for more information.,Substance Abuse Treatment,,,,,,,,,,
406,"Individual, family and group therapy, Medication Management, Suboxone, Character Education, Psychological Testing, Psychiatric Rehabilitation Services, Substance Abuse/Drug and Alcohol Counseling, Conflict Resolution, Anger Management, Vocational Counseling, Psychiatric Evaluations. Medicaid ONLY.",TATEIOMS,,,,,,,,,,
407,Provides referrals to mental health and substance abuse treatment.,Wicomico Somerset Behavioral Health,,,,,,,,,,
408,"Rental/Mortgage, Utility Assistance. Free.",U-CAP (United Communities Against Poverty),,,,,,,,,,
409,Discount/free dental services. Call for appointment.,University of Maryland Dental Clinic,,,,,,,,,,
410,Outpatient substance abuse and early intervention. Group and individual counselling. Support groups. Referrals to inpatient programs. No sex offenders. Accepts Medicaid.,Urban Counseling Institute,,,,,,,,,,
411,"Intensive/Standard Outpatient, Dual Diagnosis substance abuse.","Anne Arundel Counseling, Inc.",,,,,,,,,,
412,Mental  health and substance abuse treatment; counseling; support groups,Bridge's Behavioral Health & Wellness,,,,,,,,,,
413,Provides referrals to community resources and agencies for families. Free.,Family Support Center,,,,,,,,,,
414,Outpatient mental health and substance abuse services and counseling,For All Seasons,,,,,,,,,,
415,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
416,Free legal services and referrals,Legal Aid,,,,,,,,,,
417,Parole and Probation office in Centerville.,MD Dept. of Public Safety & Correctional Services- CENTERVILLE- Parole & Probation,,,,,,,,,,
418,Provides referrals to mental health and substance abuse treatment.,"Mid-Shore Behavioral Health, Inc.",,,,,,,,,,
419,"Domestic violence services including crisis shelter, 24 hour hotline, counseling, advocacy, legal assistance, emergency food and clothing. Spanish speaking.",Mid-Shore Council on Family Violence,,,,,,,,,,
420,"Referral Service; Emergency Food Assistance, Housing, Identification, Emergency Cash Assistance, Food Stamps, Medical Coverage",Queen Anne's County Department of Social Services,,,,,,,,,,
421,"Referral Service; Substance Abuse, Mental Health, Birth Certificates, Counseling, Medical",Queen Anne's County Health Department,,,,,,,,,,
422,Free hot meals. Friday and Saturday 6-7:30 p.m.,H.O.P.E. Ministries of Delmarva,,,,,,,,,,
423,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
424,Referral Service for mental health treatment. Peer support.,Lower Shore Friends,,,,,,,,,,
425,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Lower Shore Job One-Stop Job Market,,,,,,,,,,
426,"Food pantry, financial assistance and coaching and free clothing.",Seton Center,,,,,,,,,,
427,"Job training, GED classes and financial assistance for utilities.",Shore Up!,,,,,,,,,,
428,Provides referrals to mental health and substance abuse treatment.,Somerset County Health Department,,,,,,,,,,
429,Intensive/Standard Outpatient substance abuse treatment. Counseling services. Sliding scale payment.,Counseling Services of Hollywood,,,,,,,,,,
430,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
431,Leonardtown Parole and Probation Office.,MD Dept. of Public Safety & Correctional Services- LEONARDTOWN -Parole & Probation,,,,,,,,,,
432,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Southern Maryland JobSource,,,,,,,,,,
433,Provides referrals to mental health and substance abuse treatment.,St. Mary's County Department of Aging and Human Services,,,,,,,,,,
434,"Referral Service; Emergency Food Assistance, Housing, Identification, Emergency Cash Assistance, Food Stamps, Medical Coverage",St. Mary's County Department of Social Services,,,,,,,,,,
435,"Intensive/Standard Outpatient, DUI/DWI Education Groups, Counseling Services, Suboxone Pharmacotherapy, Mental Health Evaluations & Individual Therapy, Career Training and Job Readiness Program. Accepts Medicaid.",Step N 2 Recovery,,,,,,,,,,
436,"Methadone and buphrenorphine services, counseling and referrals.",BNJ Health Services,,,,,,,,,,
437,"Case management, primary care, prescriptions, financial assistance",Chase Brexton Health Care,,,,,,,,,,
438,"Legal Services, Immigration Services, Translation, Employment Services, English Classes, Family Support, Taxes, Citizenship Classes, Afterschool Programs, Health Education and Outreach. Free.",Chesapeake Multicultural Center,,,,,,,,,,
439,Substance abuse and mental illness support groups. NA/AA. Wellness Recovery Action Planning.,Chesapeake Voyagers,,,,,,,,,,
440,Mental  health and substance abuse treatment; counseling,Corsica River Mental Health Services,,,,,,,,,,
441,Provides referrals to community resources and agencies for families. Free.,Family Support Center,,,,,,,,,,
442,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
443,Free legal services and referrals,Legal Aid,,,,,,,,,,
444,Parole & Probation Easton Office,MD Dept. of Public Safety & Correctional Services- EASTON- Parole & Probation,,,,,,,,,,
445,Parole & Probation South Regional Office,MD Dept. of Public Safety & Correctional Services-SOUTH REGIONAL OFFICE,,,,,,,,,,
446,Provides referrals to mental health and substance abuse treatment.,"Mid-Shore Behavioral Health, Inc.",,,,,,,,,,
447,"Domestic violence services including crisis shelter, 24 hour hotline, counseling, advocacy, legal assistance, emergency food and clothing. Spanish speaking.",Mid-Shore Council on Family Violence,,,,,,,,,,
448,"Emergency Shelter, men and women welcome. No children, no sex offenders. Call for availability.",Ridgeway House,,,,,,,,,,
449,"Mental Health (ext. 2147) and Substance Use (ext. 5452) Outpatient and Intensive Outpatient Services, referrals, Clinical Psychiatric Evaluation, Medication Services.",Shore Behavioral Health,,,,,,,,,,
450,Food Pantry. Call for hours.,St. Vincent de Paul,,,,,,,,,,
451,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Talbot County American Job Center,,,,,,,,,,
452,"Referral Service; Emergency Food Assistance, Housing, Identification, Emergency Cash Assistance, Food Stamps, Medical Coverage",Talbot County Department of Social Services,,,,,,,,,,
453,"Emergency Shelter, men, women and families welcome. No sex offenders. No violent offenders. Drug testing for entry. Call for an interview.",Talbot Interfaith Shelter,,,,,,,,,,
454,Transitional Housing for families. Based on availability. Call for an interview.,Talbot Interfaith Shelter,,,,,,,,,,
455,Substance Abuse Education/Prevention,Talbot Partnership for Alcohol and Drug Abuse Prevention,,,,,,,,,,
456,Transportation,Upper Shore Take A Ride,,,,,,,,,,
457,"Outpatient services in Hagerstown and Frederick that includes short-term hospitalization, outpatient treatment and adult partial hospitalization program. Services include individual, group, marital and family therapy, medication management, pastoral counseling. Accepts Medicaid.",Brook Lane Health Services,,,,,,,,,,
458,"Offers assistance to people in economic need in Washington County. Programs include court-ordered eviction assistance, utility termination assistance, first month’s rent assistance, food pantry, energy assistance, family shelter, housing counseling, transportation, and case management to achieve and maintain self-sufficiency.  Free.",Community Action Council,,,,,,,,,,
459,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
460,Food Pantry/Bank and referrals to community services. Free.,Mount Hope Prison Ministry - Food Bank,,,,,,,,,,
461,Provide case management to access resources in the county. Must have a current mental health diagnosis and Medicaid.,Potomac Case Management Services,,,,,,,,,,
462,Drop-in center and Emergency/Cold weather shelter. Also provides hot meals and food assistance. Non county residents can only stay for 3 nights. Free.,"REACH, Inc.",,,,,,,,,,
463,Inpatient and Outpatient substance abuse treatment. Vivitrol provider. Also provides DUI and DWI education classes. Accepts Medicaid.,"Serenity Treatment Center, Inc.",,,,,,,,,,
464,"Mediation services for community, family, landlord tenant, employment, reentry conflicts. Free.",Washington County Community Mediation Center,,,,,,,,,,
465,Provides referrals to mental health and substance abuse treatment.,Washington County Mental Health Authority,,,,,,,,,,
466,Provides referrals to mental health and substance abuse treatment.,Washington County Health Department,,,,,,,,,,
467,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Washington County One-Stop Job Center,,,,,,,,,,
468,Assistance with birth certificates and Maryland IDs. Referral service. Free.,HALO Point of Entry,,,,,,,,,,
469,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
470,Substance abuse and Mental health counseling,Incarcerated No More,,,,,,,,,,
471,"Food Pantry, free shower and laundry, financial assistance with utilities, evictions and security deposits.",Joseph House,,,,,,,,,,
472,Referral Service for mental health treatment. Peer support.,Lower Shore Friends,,,,,,,,,,
473,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Lower Shore Job One-Stop Job Market,,,,,,,,,,
474,"Food pantry, financial assistance with eviction prevention, move in costs and utility bills.",Salisbury Urban Ministries,,,,,,,,,,
475,"Job training, GED classes and financial assistance for utilities.",Shore Up!,,,,,,,,,,
476,"Job training, housing assistance, GED classes, energy assistance.",Telamon Corporation,,,,,,,,,,
477,"Referral Service; Emergency Food Assistance, Housing, Identification, Emergency Cash Assistance, Food Stamps, Medical Coverage",Wicomico County Department of Social Services,,,,,,,,,,
478,Provides referrals to mental health and substance abuse treatment.,Wicomico Somerset Behavioral Health,,,,,,,,,,
479,"Food Pantry (open 7 days a week), veterans services and case management, eviction prevention and housing related financial assistance.",Diakonia Services,,,,,,,,,,
480,"Emergency shelter. Men, women and families welcome. Call for more information and intake. No sex offenders.",Diakonia Shelter,,,,,,,,,,
481,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
482,Referral Service for mental health treatment. Peer support.,Lower Shore Friends,,,,,,,,,,
483,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource",Lower Shore Job One-Stop Job Market,,,,,,,,,,
484,Berlin Parole and Probation Office.,MD Dept. of Public Safety & Correctional Services- BERLIN- Parole & Probation,,,,,,,,,,
485,Snow Hill Parole and Probation Office.,MD Dept. of Public Safety & Correctional Services-SNOW HILL-Parole & Probation,,,,,,,,,,
486,"Job training, GED classes and financial assistance for utilities.",Shore Up!,,,,,,,,,,
487,"Emergency Shelter. Men, women and families welcome. No sex offenders, no violent offenders.",The Samaritan Shelter,,,,,,,,,,
488,Transitional Shelter for women and children. Also offers classes and skills training. Referral through Social Services needed.,Village of Hope,,,,,,,,,,
489,"Referral Service; Emergency Food Assistance, Housing, Identification, Emergency Cash Assistance, Food Stamps, Medical Coverage",Worcester County Department of Social Services,,,,,,,,,,
490,,Paul's Place,,,,,,,,,,
491,,Sarah's Hope Mount Street Shelter,,,,,,,,,,
492,,Karis Home,,,,,,,,,,
493,,American Rescue Workers,,,,,,,,,,
494,,Salvation Army/Booth House Shelter,,,,,,,,,,
495,,Druid STD Clinic,,,,,,,,,,
496,,H.O.P.E.,,,,,,,,,,
497,,Total Health Care,,,,,,,,,,
498,,Helping Up Mission,,,,,,,,,,
499,,Manna House,,,,,,,,,,
500,,HealthCare Access Maryland,,,,,,,,,,
501,,Eastern Tuberculosis Clinic,,,,,,,,,,
502,,Franciscan Center,,,,,,,,,,
503,,Prisoner’s Aid,,,,,,,,,,
504,,Christ Lutheran Place,,,,,,,,,,
505,,MCVET-Veterans,,,,,,,,,,
506,,Baltimore Rescue Mission,,,,,,,,,,
507,,My Sister's Place Women's Center,,,,,,,,,,
508,,Eastern Dental Clinic,,,,,,,,,,
509,,Our Daily Bread Employment Center,,,,,,,,,,
510,,Weinberg Housing & Resource Center,,,,,,,,,,
511,,Beans and Bread,,,,,,,,,,
512,,Health Care for the Homeless,,,,,,,,,,
513,,Druid Dental Clinic,,,,,,,,,,
514,,Loving Arms,,,,,,,,,,
515,,Eastern STD Clinic,,,,,,,,,,
516,,Power Inside,,,,,,,,,,
517,,AIRS City Steps,,,,,,,,,,
518,,Rose Street Youth Shelter,,,,,,,,,,
519,,DSS-HEESU (Homeless Environmental Emergency Services Unit),,,,,,,,,,
520,,Bon Secours Women's Resource Center,,,,,,,,,,
